reference_period,Local_Government_Area,CSA_Offence_Division,CSA_Offence_Subdivision,Offence_Count,LGA_ERP,Victorian_ERP
2011,whittlesea,E Justice procedures offences,E10 Justice procedures,63,160800,5537817
2011,whittlesea,E Justice procedures offences,E20 Breaches of orders,325,160800,5537817
2011,whittlesea,F Other offences,F10 Regulatory driving offences,2,160800,5537817
2011,whittlesea,F Other offences,F20 Transport regulation offences,16,160800,5537817
2011,whittlesea,F Other offences,F30 Other government regulatory offences,46,160800,5537817
2011,whittlesea,F Other offences,F90 Miscellaneous offences,7,160800,5537817
2011,wyndham,A Crimes against the person,A10 Homicide and related offences,12,166699,5537817
2011,wyndham,A Crimes against the person,A20 Assault and related offences,805,166699,5537817
2011,wyndham,A Crimes against the person,A30 Sexual offences,199,166699,5537817
2011,wyndham,A Crimes against the person,A40 Abduction and related offences,20,166699,5537817
2011,wyndham,A Crimes against the person,A50 Robbery,106,166699,5537817
2011,wyndham,A Crimes against the person,A60 Blackmail and extortion,2,166699,5537817
2011,wyndham,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",116,166699,5537817
2011,wyndham,A Crimes against the person,A80 Dangerous and negligent acts endangering people,85,166699,5537817
2011,wyndham,B Property and deception offences,B10 Arson,95,166699,5537817
2011,wyndham,B Property and deception offences,B20 Property damage,1413,166699,5537817
2011,wyndham,B Property and deception offences,B30 Burglary/Break and enter,2011,166699,5537817
2011,wyndham,B Property and deception offences,B40 Theft,4704,166699,5537817
2011,wyndham,B Property and deception offences,B50 Deception,479,166699,5537817
2011,wyndham,C Drug offences,C10 Drug dealing and trafficking,79,166699,5537817
2011,wyndham,C Drug offences,C20 Cultivate or manufacture drugs,55,166699,5537817
2011,wyndham,C Drug offences,C30 Drug use and possession,285,166699,5537817
2011,wyndham,D Public order and security offences,D10 Weapons and explosives offences,232,166699,5537817
2011,wyndham,D Public order and security offences,D20 Disorderly and offensive conduct,227,166699,5537817
2011,wyndham,D Public order and security offences,D30 Public nuisance offences,64,166699,5537817
2011,wyndham,D Public order and security offences,D40 Public security offences,4,166699,5537817
2011,wyndham,E Justice procedures offences,E10 Justice procedures,77,166699,5537817
2011,wyndham,E Justice procedures offences,E20 Breaches of orders,331,166699,5537817
2011,wyndham,F Other offences,F20 Transport regulation offences,7,166699,5537817
2011,wyndham,F Other offences,F30 Other government regulatory offences,17,166699,5537817
2011,yarra,A Crimes against the person,A10 Homicide and related offences,2,78903,5537817
2011,yarra,A Crimes against the person,A20 Assault and related offences,639,78903,5537817
2011,yarra,A Crimes against the person,A30 Sexual offences,102,78903,5537817
2011,yarra,A Crimes against the person,A40 Abduction and related offences,7,78903,5537817
2011,yarra,A Crimes against the person,A50 Robbery,137,78903,5537817
2011,yarra,A Crimes against the person,A60 Blackmail and extortion,6,78903,5537817
2011,yarra,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",87,78903,5537817
2011,yarra,A Crimes against the person,A80 Dangerous and negligent acts endangering people,43,78903,5537817
2011,yarra,B Property and deception offences,B10 Arson,35,78903,5537817
2011,yarra,B Property and deception offences,B20 Property damage,1047,78903,5537817
2011,yarra,B Property and deception offences,B30 Burglary/Break and enter,1063,78903,5537817
2011,yarra,B Property and deception offences,B40 Theft,4213,78903,5537817
2011,yarra,B Property and deception offences,B50 Deception,765,78903,5537817
2011,yarra,B Property and deception offences,B60 Bribery,111,78903,5537817
2011,yarra,C Drug offences,C10 Drug dealing and trafficking,206,78903,5537817
2011,yarra,C Drug offences,C20 Cultivate or manufacture drugs,9,78903,5537817
2011,yarra,C Drug offences,C30 Drug use and possession,609,78903,5537817
2011,yarra,D Public order and security offences,D10 Weapons and explosives offences,198,78903,5537817
2011,yarra,D Public order and security offences,D20 Disorderly and offensive conduct,731,78903,5537817
2011,yarra,D Public order and security offences,D30 Public nuisance offences,28,78903,5537817
2011,yarra,D Public order and security offences,D40 Public security offences,1,78903,5537817
2011,yarra,E Justice procedures offences,E10 Justice procedures,73,78903,5537817
2011,yarra,E Justice procedures offences,E20 Breaches of orders,174,78903,5537817
