Education_Sector,School_Name,School_Type,Local_Government_Area
Government,Middle Park Primary School,Primary,port phillip
Government,Seville Primary School,Primary,yarra ranges
Government,Yarraville West Primary School,Primary,maribyrnong
Government,Moreland Primary School,Primary,moreland
Government,Tanjil South Primary School,Primary,baw baw
Government,Pomonal Primary School,Primary,ararat
Government,Elsternwick Primary School,Primary,bayside
Government,Glengarry Primary School,Primary,latrobe
Government,Carnegie Primary School,Primary,glen eira
Government,Lang Lang Primary School,Primary,cardinia
Government,Croydon Primary School,Primary,maroondah
Government,Moonee Ponds West Primary School,Primary,moonee valley
Government,Mitcham Primary School,Primary,whitehorse
Government,Loch Primary School,Primary,south gippsland
Government,Mildura Primary School,Primary,mildura
Government,Blackburn Primary School,Primary,whitehorse
Government,Newmerella Primary School,Primary,east gippsland
Government,Port Melbourne Primary School,Primary,port phillip
Government,Auburn Primary School,Primary,boroondara
Government,Mentone Primary School,Primary,kingston
Government,Princes Hill Primary School,Primary,yarra
Government,Gruyere Primary School,Primary,yarra ranges
Government,Research Primary School,Primary,nillumbik
Government,Pearcedale Primary School,Primary,casey
Government,Lindenow South Primary School,Primary,east gippsland
Government,Thorpdale Primary School,Primary,baw baw
Government,St Albans Primary School,Primary,brimbank
Government,Leongatha Primary School,Primary,south gippsland
Government,Jeparit Primary School,Primary,hindmarsh
Government,Toorak Primary School,Primary,stonnington
Government,Baxter Primary School,Primary,mornington peninsula
Government,Fish Creek and District Primary School,Primary,south gippsland
Government,Beaconsfield Primary School,Primary,cardinia
Government,Clarkefield Primary School,Primary,macedon ranges
Government,Metung Primary School,Primary,east gippsland
Government,Newhaven Primary School,Primary,bass coast
Government,Halls Gap Primary School,Primary,northern grampians
Government,Tallygaroopna Primary School,Primary,greater shepparton
Government,Ormond Primary School,Primary,glen eira
Government,Korumburra Primary School,Primary,south gippsland
Government,Crib Point Primary School,Primary,mornington peninsula
Government,Pascoe Vale Primary School,Primary,moreland
Government,Flowerdale Primary School,Primary,murrindindi
Government,Ocean Grove Primary School,Primary,greater geelong
Government,Beulah Primary School,Primary,yarriambiack
Government,Merri Creek Primary School,Primary,yarra
Government,Sunshine Primary School,Primary,brimbank
Government,Tyabb Primary School,Primary,mornington peninsula
Government,Wales Street Primary School,Primary,darebin
Government,Upper Sandy Creek Primary School,Primary,indigo
Government,Spensley Street Primary School,Primary,yarra
Government,Kew East Primary School,Primary,boroondara
Government,Nichols Point Primary School,Primary,mildura
Government,Irymple Primary School,Primary,mildura
Government,Brunswick East Primary School,Primary,moreland
Government,Eagle Point Primary School,Primary,east gippsland
Government,Yarra Junction Primary School,Primary,yarra ranges
Government,Sassafras Primary School,Primary,yarra ranges
Government,Ferny Creek Primary School,Primary,yarra ranges
Government,Toolangi Primary School,Primary,murrindindi
Government,Wonga Park Primary School,Primary,manningham
Government,Kinglake West Primary School,Primary,murrindindi
Government,Monbulk Primary School,Primary,yarra ranges
Government,Lake Boga Primary School,Primary,swan hill
Government,Chum Creek Primary School,Primary,yarra ranges
Government,Mount Dandenong Primary School,Primary,yarra ranges
Government,Nullawil Primary School,Primary,buloke
Government,Badger Creek Primary School,Primary,yarra ranges
Government,Rainbow Primary School,Primary,hindmarsh
Government,Middle Kinglake Primary School,Primary,murrindindi
Government,Point Lonsdale Primary School,Primary,queenscliffe
Government,Kongwak Primary School,Primary,south gippsland
Government,Clarinda Primary School,Primary,kingston
Government,Chelsea Heights Primary School,Primary,kingston
Government,Wallington Primary School,Primary,greater geelong
Government,Tecoma Primary School,Primary,yarra ranges
Government,Torquay P-6 College,Primary,surf coast
Government,Noorinbee Primary School,Primary,east gippsland
Government,Woomelang Group School,Primary,yarriambiack
Government,Emerald Primary School,Primary,cardinia
Government,Carrum Primary School,Primary,kingston
Government,Nyora Primary School,Primary,south gippsland
Government,Exford Primary School,Primary,melton
Government,Ultima Primary School,Primary,swan hill
Government,Mount Waverley Primary School,Primary,monash
Government,Marlo Primary School,Primary,east gippsland
Government,Highlands Primary School,Primary,murrindindi
Government,Murrumbeena Primary School,Primary,glen eira
Government,Wesburn Primary School,Primary,yarra ranges
Government,Koorlong Primary School,Primary,mildura
Government,Warranwood Primary School,Primary,maroondah
Government,Willowmavin Primary School,Primary,mitchell
Government,Olinda Primary School,Primary,yarra ranges
Government,Carlisle River Primary School,Primary,colac-otway
Government,Spring Gully Primary School,Primary,greater bendigo
Government,Mallacoota P-12 College,Pri/Sec,east gippsland
Government,Langwarrin Primary School,Primary,frankston
Government,Cockatoo Primary School,Primary,cardinia
Government,Tyabb Railway Station Primary School,Primary,mornington peninsula
Government,Belgrave South Primary School,Primary,yarra ranges
Government,Baltara School,Special,whittlesea
Government,Sydenham - Hillside Primary School,Primary,brimbank
Government,Canterbury Primary School,Primary,boroondara
Government,The Lake Primary School,Primary,mildura
Government,Grey Street Primary School (Traralgon),Primary,latrobe
Government,Brunswick North Primary School,Primary,moreland
Government,Fawkner Primary School,Primary,moreland
Government,Alphington Primary School,Primary,yarra
Government,Austin Hospital School,Special,banyule
Government,Bona Vista Primary School,Primary,baw baw
Government,Banyan Fields Primary School,Primary,frankston
Government,Norris Bank Primary School,Primary,whittlesea
Government,Macclesfield Primary School,Primary,yarra ranges
Government,Black Rock Primary School,Primary,bayside
Government,Mount Evelyn Primary School,Primary,yarra ranges
Government,Kilsyth Primary School,Primary,yarra ranges
Government,Wonthaggi Primary School,Primary,bass coast
Government,Spotswood Primary School,Primary,hobsons bay
Government,Clyde Primary School,Primary,casey
Government,Noble Park Primary School,Primary,greater dandenong
Government,Deepdene Primary School,Primary,boroondara
Government,Clifton Creek Primary School,Primary,east gippsland
Government,Kennington Primary School,Primary,greater bendigo
Government,Cardinia Primary School,Primary,cardinia
Government,Grahamvale Primary School,Primary,greater shepparton
Government,Irymple South Primary School,Primary,mildura
Government,Glen Huntly Primary School,Primary,glen eira
Government,Nanneella Estate Primary School,Primary,campaspe
Government,Wantirna Primary School,Primary,knox
Government,Wonthaggi North Primary School,Primary,bass coast
Government,Melton South Primary School,Primary,melton
Government,Chelsea Primary School,Primary,kingston
Government,Nowa Nowa Primary School,Primary,east gippsland
Government,Walpeup Primary School,Primary,mildura
Government,Hampton Primary School,Primary,bayside
Government,Victorian College For The Deaf,Special,melbourne
Government,Balliang East Primary School,Primary,moorabool
Government,Edithvale Primary School,Primary,kingston
Government,Orrvale Primary School,Primary,greater shepparton
Government,Penders Grove Primary School,Primary,darebin
Government,Underbool Primary School,Primary,mildura
Government,Caulfield Junior College,Primary,glen eira
Government,Seaford Primary School,Primary,frankston
